,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
25,Piso en calle de San Bernardo  MalasañaUniversidad  Madrid,3600,2 hab 85 m Planta 3 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 85 m
26,Piso en Trafalgar  Madrid,1500,3 hab 73 m Planta 1 exterior con ascensor 18 horas,Piso,"Trafalgar, Madrid",3 hab, 73 m
27,Piso en calle de San Bernardo  MalasañaUniversidad  Madrid,3600,2 hab 85 m Planta 3 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 85 m
28,Piso en avenida de la Aviación  Águilas  Madrid,800,3 hab 90 m Planta 4 exterior sin ascensor 18 horas,Piso,"Águilas, Madrid",3 hab, 90 m
29,Piso en paseo de la Dirección  Valdeacederas  Madrid,2300,1 hab 50 m Planta 22 exterior con ascensor,Piso,"Valdeacederas, Madrid",1 hab, 50 m
0,Piso en zurron  12  Timón  Madrid,895,2 hab 69 m Bajo exterior con ascensor 19 horas,Piso,"Timón, Madrid",2 hab, 69 m
1,Piso en calle de García de Paredes  Almagro  Madrid,4800,3 hab 149 m Planta 1 exterior con ascensor,Piso,"Almagro, Madrid",3 hab, 149 m
2,Ático en calle del Olmo  25  LavapiésEmbajadores  Madrid,1800,3 hab 70 m Planta 4 exterior sin ascensor 18 horas,Ático,"Embajadores, Madrid",3 hab, 70 m
3,Dúplex en calle de San Bernardo  MalasañaUniversidad  Madrid,4100,2 hab 88 m Planta 4 exterior con ascensor 22 horas,Dúplex,"Universidad, Madrid",2 hab, 88 m
4,Dúplex en plaza de Tuy  Pilar  Madrid,1800,3 hab 120 m Entreplanta exterior con ascensor 3 horas,Dúplex,"Pilar, Madrid",3 hab, 120 m
5,Piso en Lista  Madrid,2500,2 hab 95 m Planta 2 exterior con ascensor,Piso,"Lista, Madrid",2 hab, 95 m
6,Piso en paseo de Extremadura  Puerta del Ángel  Madrid,990,2 hab 32 m Planta 2 exterior sin ascensor 19 horas,Piso,"Puerta del Ángel, Madrid",2 hab, 32 m
7,Piso en Recoletos  Madrid,3800,3 hab 145 m Planta 3 exterior con ascensor,Piso,"Recoletos, Madrid",3 hab, 145 m
8,Piso en plaza de las Cortes  HuertasCortes  Madrid,1500,1 hab 70 m Planta 5 exterior con ascensor 19 horas,Piso,"Cortes, Madrid",1 hab, 70 m
9,Piso en Nuevos MinisteriosRíos Rosas  Madrid,2190,3 hab 80 m Planta 4 exterior con ascensor,Piso,"Ríos Rosas, Madrid",3 hab, 80 m
10,Piso en HuertasCortes  Madrid,1800,1 hab 65 m Planta 6 exterior con ascensor 19 horas,Piso,"Cortes, Madrid",1 hab, 65 m
11,Piso en Almagro  Madrid,1900,1 hab 95 m Entreplanta exterior con ascensor,Piso,"Almagro, Madrid",1 hab, 95 m
12,Piso en calle Marmolistas  Arcos  Madrid,930,3 hab 68 m Bajo exterior sin ascensor 19 horas,Piso,"Arcos, Madrid",3 hab, 68 m
13,Piso en Nuevos MinisteriosRíos Rosas  Madrid,3900,4 hab 215 m Planta 3 exterior con ascensor,Piso,"Ríos Rosas, Madrid",4 hab, 215 m
14,Piso en calle San Valero  Numancia  Madrid,900,3 hab 64 m Planta 4 exterior sin ascensor 19 horas,Piso,"Numancia, Madrid",3 hab, 64 m
15,Ático en calle Archiduque Alberto  23  Sanchinarro  Madrid,1120,1 hab 64 m Planta 6 exterior con ascensor 23 horas,Ático,"Sanchinarro, Madrid",1 hab, 64 m
